Test-Train Split (%),Max_depth,Min_Sample_Split,Time taken to train classifier (sec),Memory used (MB),CPU used,Accuracy Score,Precision Score,F1-Score,Recall Score
30.0,4,9,0.0003285408020019531,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,4,10,0.0003237724304199219,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,5,2,0.0003120899200439453,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,5,3,0.0003237724304199219,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,5,4,0.00032591819763183594,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,5,5,0.00033926963806152344,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,5,6,0.0003407001495361328,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,5,7,0.0003490447998046875,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,5,8,0.0003561973571777344,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,5,9,0.000331878662109375,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,5,10,0.0003275871276855469,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,6,2,0.00033926963806152344,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,6,3,0.000339508056640625,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,6,4,0.0003647804260253906,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,6,5,0.0003609657287597656,0.0,95.2,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,6,6,0.0006542205810546875,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,6,7,0.0003905296325683594,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,6,8,0.0003445148468017578,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,6,9,0.0003292560577392578,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,6,10,0.0003235340118408203,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,7,2,0.0003325939178466797,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,7,3,0.0003275871276855469,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,7,4,0.00031757354736328125,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,7,5,0.0006451606750488281,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,7,6,0.00035309791564941406,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,7,7,0.0003421306610107422,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,7,8,0.0003528594970703125,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,7,9,0.0003387928009033203,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,7,10,0.0003314018249511719,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,8,2,0.00033593177795410156,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,8,3,0.00032210350036621094,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,8,4,0.00037789344787597656,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,8,5,0.000324249267578125,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,8,6,0.000335693359375,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,8,7,0.0003159046173095703,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,8,8,0.0003237724304199219,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,8,9,0.0003421306610107422,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,8,10,0.0003402233123779297,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
30.0,9,2,0.00032067298889160156,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
